battery_level,captive,code,id,location
80,False,,36a9c78a-0f8c-4fbc-8e96-5869c388354d,"(39.75154833333333, -105.00285333333335)"
37,False,,27460345-b16c-4c46-ad4c-21c489454112,"(39.750949999999996, -104.99971833333332)"
100,False,,233be0be-07ee-4d78-bc8e-216453190036,"(39.754185, -105.00170833333335)"
64,False,,e81ab1c7-a481-49d1-a9a4-a1c5af0fa5e8,"(39.749439, -105.00045)"
100,False,,d874de48-6a33-478d-b7c9-c8aba9746754,"(39.75425666666667, -105.00167833333334)"
51,False,,1376a5d0-2bf3-453e-b2f6-d214c37c9864,"(39.751835, -104.99922999999998)"
100,False,,b19020fd-85fa-4c26-975d-54b65f914950,"(39.754323, -105.001628)"
32,False,,5e1ddf11-b7e0-4cc1-8dd5-48a8c15088c4,"(39.751933333333334, -104.99905333333332)"
66,False,,94cc904b-ef54-4295-b033-5e87095aebb2,"(39.754468, -105.001512)"
94,False,,9b39dc05-ff20-4053-81b1-dd8e3002a02c,"(39.753205, -105.00654666666667)"
92,False,,bc49c549-b2ac-4a44-8c4b-c37d8f7a362b,"(39.754016666666665, -105.000175)"
27,False,,f10f9686-a38a-472d-8c45-41ed74cfb036,"(39.75228833333333, -104.99872666666667)"
85,False,,b131c6c9-02dd-4d35-80e1-b7e22869aa08,"(39.75475333333333, -105.00448666666668)"
62,False,,126bd1d3-856a-44d0-a82c-0abc369bd73f,"(39.748780000000004, -105.0)"
59,False,,feaf525e-472d-4c1a-964a-d70b0c307341,"(39.74877166666667, -105.00000833333334)"
73,False,,6c48ea15-9d9b-4904-85d5-2f85b914120f,"(39.75261666666667, -104.99849666666665)"
28,False,,41c539db-1884-4836-b425-089c2328acbb,"(39.752475, -104.99835166666665)"
69,False,,3f15cf9d-f32e-4d78-9c5f-44e5fa0cb7e7,"(39.74894333333334, -104.99932833333332)"
78,False,,a30745b4-daeb-407c-8bea-1e9ab6dd0a8e,"(39.755375, -105.00302166666667)"
89,False,,22c6015c-1247-4ae1-b825-d8252b284816,"(39.755741, -105.001265)"
35,False,,65aeeb78-66b1-4071-9f7b-c06ada91b060,"(39.74857333333333, -104.99876333333334)"
80,False,,bb8079bf-05be-4a5a-947a-523a42a1780e,"(39.754972, -105.006725)"
34,False,,4363b0cd-7b39-4d88-bb00-763c56048f03,"(39.748126, -104.998892)"
67,False,,b294e039-c39c-4410-84c5-94415d614eb8,"(39.74738333333333, -104.99970166666665)"
23,False,,e03d6bca-1809-4b8a-83da-7426761b4e0a,"(39.756405, -105.00372333333334)"
76,False,,936b1f4e-ef8f-4f71-9ebf-0ae61a72ef25,"(39.74736333333333, -104.99964166666665)"
88,False,,0fec97bc-86da-4bb3-8cbd-47bc1a9764fe,"(39.75188, -105.00936833333331)"
58,False,,1035d328-4596-47a4-bf75-760019ab1f96,"(39.746946, -105.000271)"
29,False,,758a470b-851e-4ef2-8a9b-794e8d71810c,"(39.756262, -105.000512)"
63,False,,85525f81-ec50-46dd-9d0f-85e41237da2b,"(39.75143833333333, -104.996315)"
29,False,,05ba42f7-d6a9-4737-bf40-bba89b4b62c0,"(39.74787833333333, -105.00760666666665)"
23,False,,56971d2b-28b9-4ff9-a9c7-fca8bd57e8f2,"(39.747856666666664, -105.00759833333335)"
17,False,,0b11f299-f9b7-4fe1-8871-6729e72fa024,"(39.74780333333333, -105.00753833333334)"
17,False,,ddb6a14b-4cae-4d50-931e-1bafcdbdfc39,"(39.74777166666667, -105.007515)"
83,False,,516c34e3-51c4-426a-b9ad-4fbb0dc0d4a1,"(39.74734, -104.999069)"
48,False,,01d89a45-0730-4c2b-817f-bfb4222fac2a,"(39.756724999999996, -105.004135)"
74,False,,f6db1a22-b46a-4b7b-b776-c654a61f4938,"(39.74767666666666, -105.00775833333334)"
85,False,,62ab9220-13bd-482d-b140-7dfca4b8a49f,"(39.748231, -104.997318)"
34,False,,9276ab06-02a6-429f-9f40-b8f37ea8e847,"(39.748883, -104.996745)"
98,False,,82d2b223-7f3d-4ffd-be4d-f59c477f43a1,"(39.7541, -104.99641500000001)"
68,False,,a891da99-296a-427d-a672-cc825e315ba3,"(39.74832166666667, -104.99684166666665)"
55,False,,335041c6-dbcd-4f31-a886-27d7dc06b0dd,"(39.74884833333333, -104.99636833333334)"
22,False,,e6efa069-892a-4229-98b1-68edd2a69c47,"(39.74749833333333, -104.99626166666667)"
59,False,,bf7d6951-0bde-461b-99c3-cfc9e110a5b4,"(39.755763333333334, -104.99640666666667)"
79,False,,eb107004-dbc8-494f-b1ed-45d0b190de5a,"(39.748615, -104.995311)"
79,False,,59327922-5306-4bab-84ee-f5fa56b2e9fc,"(39.74852, -104.99524000000001)"
65,False,,170841f6-8910-4538-a8bc-69d38f0e3e14,"(39.747845, -104.99575000000002)"
54,False,,b26ce77d-4d63-4722-9c0b-a2e0fa032e4b,"(39.757562, -104.999111)"
76,False,,46ed7231-539c-4eec-9197-ea9321d67a48,"(39.748058, -104.995177)"
36,False,,e8f75fc3-ed2d-4e60-9878-75cfbbe1cd6e,"(39.757705, -105.00741500000001)"
38,False,,11f259c0-9de0-4f19-a14b-ede15c0c418d,"(39.757751666666664, -105.00771333333333)"
60,False,,60b1565e-2f9f-437e-96c1-d9b14cc9fa12,"(39.745349, -104.998064)"
43,False,,7aae371e-d30b-4336-9e44-6d2b23cfcffc,"(39.748558333333335, -104.99430166666667)"
23,False,,82daf04c-eff6-4948-878f-869d43fa7104,"(39.75790333333334, -105.00789666666667)"
81,False,,130357fa-fa33-43b5-a553-2bfe07e70db8,"(39.74937, -104.99290500000001)"
91,False,,ea4a7cac-cda0-4efc-b9df-e8c10c2901f5,"(39.753135, -104.99270666666668)"
88,False,,466531b6-e72e-4943-89cf-fc5bf7409769,"(39.754197, -104.99289)"
71,False,,6891387c-faf3-44bc-b1ea-92749432a088,"(39.74572333333333, -104.99524000000001)"
25,False,,e600bb7c-7d00-44bd-a7b9-162889787363,"(39.758335, -105.00923166666668)"
96,False,,64955656-26ee-4d86-aa53-671212f6a8a4,"(39.75936166666667, -104.99826833333333)"
53,False,,c2729ec7-795c-45e0-a30f-ee2fe4afeeff,"(39.74617, -104.99397333333333)"
44,False,,ac6eaae2-4e20-4efb-b031-6861cf64ca5f,"(39.746208333333335, -104.99392000000002)"
40,False,,b1e90fdf-0ebb-43fa-9c48-213e8fcb406b,"(39.747904999999996, -104.99240166666665)"
66,False,,2cb48d2d-7b4f-4df3-b2a6-e53e78fda722,"(39.747058333333335, -104.99288166666665)"
100,False,,c37e517a-acd9-4921-928a-ab42ff40da91,"(39.759033333333335, -105.01016166666668)"
98,False,,38d27023-61aa-4971-bda4-ffe45ea87627,"(39.759024999999994, -105.01017833333331)"
100,False,,0f47aafc-5bf5-4e95-a432-6f458ce82f5a,"(39.748244, -104.991585)"
100,False,,2e1d6948-3f53-4378-81f0-2843e121724e,"(39.759051666666664, -105.01023833333332)"
16,False,,68de3e26-609c-4c03-baf7-905ae5817fd0,"(39.745975, -104.99310333333332)"
64,False,,119ecd29-e602-480e-bdeb-e2a6378c101d,"(39.744571666666666, -104.99458333333332)"
100,False,,0d06023a-171a-4110-a8ec-689299282d0a,"(39.74814166666667, -104.99136333333333)"
57,False,,bc0144dc-2772-4bf9-9f5a-af6a082b5390,"(39.754551666666664, -104.99072999999999)"
46,False,,1b2bbff0-bced-43a5-bfb7-8b230ac9ad02,"(39.74415666666666, -104.99357666666668)"
60,False,,f87f0edd-0df8-49f3-9c51-a46396e1c70e,"(39.76175333333333, -105.00579833333335)"
77,False,,ea356ece-7110-492e-aa5d-764b2a93666d,"(39.75051166666666, -104.98941)"
33,False,,9de803dd-04c3-4132-bbde-bab6620f3a6f,"(39.74559333333333, -104.99148500000001)"
69,False,,94e9c2e7-d441-4c81-91a8-12f57ff2205c,"(39.74778, -104.98983000000001)"
41,False,,08ac30e3-6d4b-4d3e-aab1-8c4e76922cd7,"(39.75509666666667, -104.98967666666667)"
97,False,,e1800b08-afb0-4ab1-89f1-c291d13d0f89,"(39.748424, -104.989423)"
87,False,,7e6c3036-5a80-463e-8a51-90b43fc9a80d,"(39.74832833333333, -104.98913499999999)"
28,False,,2572c99d-739e-48ca-b293-ff88cb29d71c,"(39.748378333333335, -104.98892166666668)"
88,False,,cef7af52-ed7f-4ad0-8077-77656b5d941c,"(39.7570684584585, -104.99020588951045)"
56,False,,3485dd8f-7be1-4752-8d48-41e85358e63b,"(39.75727833333334, -105.01557166666667)"
62,False,,2baed886-19c4-4bdf-aca3-50cd40fabfcc,"(39.756813333333334, -104.98980666666667)"
89,False,,f5af9357-7fb8-488b-bcd6-dcbc57d3e807,"(39.76131833333333, -105.01084833333334)"
98,False,,db4131d6-5748-4f36-a869-ca7913ab6e23,"(39.739908, -105.001538)"
73,False,,c82e999b-c240-440a-bf7f-724179cf2e11,"(39.76325166666666, -105.00376166666668)"
47,False,,d1fd279f-6ef1-4ba8-9de7-751cdcd65d67,"(39.73988, -105.001559)"
80,False,,babc6100-1901-4cbd-8b20-7d311120417f,"(39.76207333333333, -105.00969666666667)"
86,False,,60c96a32-8c1c-4fb1-a272-b96cddb9e6b9,"(39.739865, -105.00151)"
97,False,,08a78036-3728-4c3b-abe4-f0251830c0ec,"(39.74851, -104.988163)"
